Bloomberg Corporate Action Calendar - CACT<GO>,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Action Type,Security ID,Announce/Declared Date,Effective Date,Amd Flag,Summary,Summary,Summary,Summary,Summary,Summary
Spin-off,ECLEUR EU Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,ECJ GZ Equity,2/4/2019,6/4/2020,Y,Name: Ecolab Inc, Spun-Off Company Name: ChampionX Holding Inc, Spun-Off Company Ticker: 1695496D US Equity, Terms: 24.6667: 1, , 
Spin-off,MMMZ S2 Equity,7/26/2022,12/31/2023,Y,Name: 3M Co, Spun-Off Company Name: Solventum Corp, Spun-Off Company Ticker: SOLV US Equity, Terms: 1 : 0, , 
Spin-off,MMMN S2 Equity,7/26/2022,12/31/2023,Y,Name: 3M Co, Spun-Off Company Name: Solventum Corp, Spun-Off Company Ticker: SOLV US Equity, Terms: 1 : 0, , 
Spin-off,MMMD S2 Equity,7/26/2022,12/31/2023,Y,Name: 3M Co, Spun-Off Company Name: Solventum Corp, Spun-Off Company Ticker: SOLV US Equity, Terms: 1 : 0, , 
Spin-off,CMI US Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1USD EU Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CUM GR Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CUM QT Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1EUR EU Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1EUR EO Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CUM TH Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1GBP EU Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI* MM Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1GBP EO Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1USD EO Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CUM TE Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,0I58 LN Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,0I58L L1 Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1USD EZ Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1EUR X9 Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CUM GZ Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1EUR EP Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,0I58L PO Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,0I58L B3 Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1EUR EZ Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1USD X9 Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI1USD EP Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,0I58L L3 Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI AV Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CUM SW Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,CMI-RM RM Equity,11/2/2023,3/8/2024,Y,Name: Cummins Inc, Spun-Off Company Name: Atmus Filtration Technologies Inc, Spun-Off Company Ticker: ATMU US Equity, Terms: 12.0298: 1, , 
Spin-off,LEN-RM RM Equity,3/17/2021,12/31/2024,Y,Name: Lennar Corp, Spun-Off Company Name: Non-core businesses/Lennar, Spun-Off Company Ticker: 1956599D US Equity, Terms: 1 : 0, , 
Spin-off,0JU0L S2 Equity,3/17/2021,12/31/2024,Y,Name: Lennar Corp, Spun-Off Company Name: Non-core businesses/Lennar, Spun-Off Company Ticker: 1956599D US Equity, Terms: 1 : 0, , 
Spin-off,BAX-RM RM Equity,1/6/2023,12/31/2024,Y,Name: Baxter International Inc, Spun-Off Company Name: Renal Care and Acute Therapies Spinco, Spun-Off Company Ticker: 2219097D US Equity, Terms: 1 : 0, , 
Spin-off,FIS-RM RM Equity,2/13/2023,12/31/2024,Y,Name: Fidelity National Information Services Inc, Spun-Off Company Name: Worldpay Inc, Spun-Off Company Ticker: WP US Equity, Terms: 1 : 0, , 
Spin-off,WDC-RM RM Equity,10/30/2023,12/31/2024,Y,Name: Western Digital Corp, Spun-Off Company Name: Flash Business, Spun-Off Company Ticker: 2318565D US Equity, Terms: 1 : 0, , 
Spin-off,TT US Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,IREUR EO Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,TT SW Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,IRUSD EU Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,2IS GR Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,IRUSD EO Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,2IS QT Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,2IS GZ Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,IREUR EU Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
